Event,Room
10082-07,B11 R/12 (0/12)
1010-07,B32 DELBOEUF (0/25)
10240-07,B6d R26 (0/26)
10449-07,N1a 119 (1/19)
10450-07,L5 (2/5)
10461-07,B20 R 91 (0/18)
10462-07,B7a S3 (-1/15)
10492-07,B21 Laboratoire de pedagogie (3/17)
10538-07,L3 Auditoire 0/13A
10610-07,L3 (0/51)
10619-07,B20 R 91 (0/18)
10647-07,A1 Salle Academique (0/47)
10659-07,B7a S1 (-1/17a)
1079-07,B31 Salle du conseil (3/18)
10804-07,B11 1/12
1098-07,N1a 50 (0/50)
10981-07,B5b R19 (0/19)
10983-07,J6 Auditoire (0/35)
1112-07,N1a 35 (0/35)
11126-07,B31 Marx (4/84)
11134-07,A2 5/11
11137-07,B22/1 Auditoire (0/35)
11141-07,B21 Salle de cours ISEPK (2/11A)
11151-07,B23 salle 19 (-1/12)
11171-07,B31 Tocqueville (2/84)
11322-07,O2 Thiry (2/8a)
11349-07,B7a S2 (-1/16)
11452-07,A1J Salle Wittert (0/64a)
11466-07,B6d R30 (0/30)
11491-07,B23 salle 15 (-1/8)
11493-07,B7b A3 (0/30)
11501-07,B7a A500 (0/7)
11519-07,B7a A1 (-1/10)
1152-07,O2 Pousseur (3/7a)
1157-07,B43a Amphi D (2/36a)
1158-07,B43a Amphi D (2/36a)
1159-07,B5a R41 (0/41)
11656-07,A2 2/5
11669-07,B35a Welsch (0/7)
11698-07,B37 S.36 (-1/36)
1170-07,B31 Seminaire 3 (1/29)
11707-07,B36 salle 7 (-1/10)
11772-07,B18 R 88 (0/88)
11780-07,B35a F50 (2/9)
118-07,B4 S94 (-1/90)
11825-07,B32 DYNAMIQUE des GROUPES (0/6)
11826-07,B41 Salle 8/TP sous RX (-1/47)
11829-07,A1 CEDOPAL (3/46)
11831-07,B6c (1/38)
11834-07,B42 Salle RUPO 4 (0/81)
11849-07,B52 (2/441)
11905-07,B7b A202 (0/26)
11919-07,N1a 30 (0/30)
11921-07,L3 Auditoire 0/13A
11923-07,B6d C26 (-1/26)
11930-07,B37 Auditoire 01 (0/1)
