Event,Room
10178-07,B11 R/12 (0/12)
10180-07,O2 Thiry (2/8a)
1024-07,B41 AMPHI A (0/5a)
10258-07,O2 Noppius (2/3a)
10398-07,B35a Roskam (0/8)
10446-07,B20 R 91 (0/18)
10464-07,B7a S3 (-1/15)
10489-07,B21 Laboratoire de pedagogie (3/17)
10498-07,B37 S.39 (-1/39)
10511-07,L3 (0/51)
10518-07,B20 R 91 (0/18)
10594-07,A1 Salle Academique (0/47)
10648-07,B7a S1 (-1/17a)
10796-07,B31 Salle du conseil (3/18)
10799-07,B11 1/12
10800-07,B31 De Mean (2/102)
10908-07,B23 salle 19 (-1/12)
10980-07,J6 Auditoire (0/35)
11040-07,A1 Seminaire media (2/7a)
1117-07,B31 Marx (4/84)
11186-07,A2 5/11
11217-07,B22/1 Auditoire (0/35)
11307-07,B21 Salle de cours ISEPK (2/11A)
11401-07,N1d (0/86)
11487-07,B31 Tocqueville (2/84)
11500-07,O2 Thiry (2/8a)
11508-07,B42 Amphi B (0/3a)
11589-07,B42 Salle RUPO 1 (0/84)
11668-07,B45 AMPHI C (0/8)
11674-07,B52 TP36 (-1/303)
11697-07,B7b A3 (0/30)
11718-07,B6a R43 (0/43)
1172-07,B7a A1 (-1/10)
11792-07,B31 Ricardo (0/111)
11820-07,B52 TP36 (-1/303)
11857-07,B52 TP40 (-1/301)
11888-07,B7a A300 (0/5)
11895-07,N1d (1/82)
11965-07,A4 S100 (-1/44)
11978-07,N1a 130 (1/30)
11983-07,B31 Seminaire 3 (1/29)
12022-07,B31 De Mean (2/102)
12026-07,B18 R 88 (0/88)
1203-07,B35a F50 (2/9)
12040-07,A1 3/26a
12079-07,B4 A304 (0/30)
12120-07,B6d C26 (-1/26)
12158-07,A1 CEDOPAL (3/46)
12334-07,B28 1.94
12342-07,L1 Bucarest (1/31)
12357-07,B52 (2/441)
12372-07,B7b A202 (0/26)
1242-07,A2 5/6
12505-07,L3 Auditoire 0/13A
12543-07,B23 salle 16 (-1/9)
12580-07,L5 (2/7)
12698-07,O2 Lejeune (1/3a)
12708-07,B33 Trifac 4 (-1/35)
1271-07,F1 Grand auditoire B01 (0/2)
12718-07,A1 Espace philo (3/36)
12778-07,B7b A202 (0/26)
12814-07,I1 Salle Jeuniaux (1/72)
12823-07,L1 (0/40)
13027-07,B36 Stainier (0/5)
13161-07,B22/1 Auditoire (0/35)
13175-07,A4 R100 (0/44)
13177-07,B4 A204 (0/24)
13204-07,L3 (0/57)
13337-07,B37 Auditoire 02 (0/2)
13459-07,B7b A142 (0/28)
13557-07,B43b Salle Schoenaers (-1/25)
13648-07,B4 A304 (0/30)
1365-07,B41 Salle 7/TP sous RX (-1/46)
13651-07,B37 S.33 (-1/33)
1366-07,B31 De Mean (2/102)
13661-07,B35a Bacq & Florkin (1/8)
1367-07,E1 Salle graphique Constitution (0/5)
1368-07,B7a A500 (0/7)
13720-07,B6d S38 (-1/38)
13791-07,B43a Amphi D (2/36a)
13814-07,B5b R19 (0/19)
13816-07,A2 Salle Wilmotte (3/25)
13877-07,A2 6/11
13878-07,B41 AMPHI A (0/5a)
13882-07,B4 A204 (0/24)
14038-07,B4 1/24 (1/88)
1418-07,B42 Amphi B (0/3a)
14346-07,B7a A300 (0/5)
1440-07,L1 Bucarest (1/31)
1441-07,B43a Salle de Parasitologie (2/68)
